Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Mexico,CT Villa de Reyes,Fuel oil,,"Villa de Reyes, San Luis Potosí",active,700,1986,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,21.8315441,-100.93449,700.0,Fuel oil
Mexico,CT Presidente Juárez,Fuel oil,Natural gas,"Rosarito, Baja California",active,620,1964,Comisión Federal de Electricidad (CFE),state-owned,CDMX,,,,32.3689974,-117.06821,620.0,Fuel oil
Mexico,CCC Agua Prieta II,Natural gas,Solar & vapour,"Agua Prieta, Sonora",active,409,2016,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,https://www.elecnor.com/proyectos/central-de-ciclo-combinado-agua-prieta-mexico,31.2627917,-109.59189,409.0,Gas
Mexico,CCC Norte III,Natural gas,,"Ciudad Juárez, Chihuahua",active,907,2020,"Macquarie Group Limited, Techint Ingeniería & Construcción e InfraRed Capital Partners Limited",private,Ciudad de Mexico,,,https://www.proyectosmexico.gob.mx/proyecto_inversion/222-ciclo-combinado-norte-iii-juarez/,31.4729528,-106.47125,907.0,Gas
Mexico,CCC Noroeste,Natural gas,,"Ahome, Sinaloa",active,911,2019,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolageneracionmexico.com/ciclo-combinado-topolobampo-ii/,25.9731404,-108.99138,911.0,Gas
Mexico,CCC Noreste,Natural gas,,"Escobedo, Nuevo León",active,857,2019,Iberdrola,private,Ciudad de Mexico,,,https://www.proyectosmexico.gob.mx/proyecto_inversion/220-planta-de-ciclo-combinado-noreste/,25.8698817,-100.36015,857.0,Gas
Mexico,CCC Topolobampo III,Natural gas,,"Ahome, Sinaloa",under construction,779,,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolageneracionmexico.com/ciclo-combinado-topolobampo-iii/,25.9723206,-108.99591,779.0,Gas
Mexico,CCC Baja California III,Natural gas,,"Ensenada, Baja California",active,324,2017,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrola.com/conocenos/lineas-negocio/proyectos-emblematicos/central-ciclo-combinado-baja-california-iii,31.9923082,-116.85189,324.0,Gas
Mexico,CCC Dulces Nombres II,Natural gas,,"Monterrey, Nuevo León",active,303,2016,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolageneracionmexico.com/ciclo-combinado-dulces-nombres-ii/,25.7174407,-100.09819,303.0,Gas
Mexico,CCC Dulces Nombres,Natural gas,,"Monterrey, Nuevo León",active,962,2002,Iberdrola,private,Ciudad de Mexico,,,,25.7189497,-100.0963,962.0,Gas
Mexico,CCC El Carmen,Natural gas,,"El Carmen, Nuevo León",active,866,2019,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolamexico.com/entra-en-operacion-la-primera-central-de-iberdrola-mexico-destinada-a-vender-a-clientes-industriales-en-el-mercado-electrico-mayorista/,25.8638889,-100.36778,866.0,Gas
Mexico,CCC La Laguna II,Natural gas,,"Durango, Durango",active,538,2005,Iberdrola,private,Ciudad de Mexico,,,,25.601,-103.468,538.0,Gas
Mexico,CCC Altamira III & IV,Natural gas,,"Altamira, Tamaulipas",active,1036,2003,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolageneracionmexico.com/wp-content/uploads/mapa/index.php,22.4940217,-97.90168,1036.0,Gas
Mexico,CCC Altamira V,Natural gas,,"Altamira, Tamaulipas",active,1093,2006,Iberdrola,private,Ciudad de Mexico,,,,22.5000286,-97.905951,1093.0,Gas
Mexico,CCC Tamazunchale,Natural gas,,"Tamazunchale, San Luis Potosí",active,1179,2007,Iberdrola,private,Ciudad de Mexico,,,https://www.iberdrolageneracionmexico.com/ciclo-combinado-tamazunchale/,21.2580214,-98.786488,1179.0,Gas
Mexico,CCC San Luis de la Paz,Natural gas,,"San Luis de la Paz, Guanajuato",active,220,2016,Saavi Energía,private,Ciudad de Mexico,,,https://www.saavienergia.com/inicio,21.2449824,-100.61043,220.0,Gas
Mexico,CCC Chihuahua III,Natural gas,,"Chihuahua, Chihuahua",active,271,2003,Saavi Energía,private,Ciudad de Mexico,,,,31.3325984,-106.48859,271.0,Gas
Mexico,CCC Termoeléctrica de Mexicali,Natural gas,,"Mexicali, Baja California",active,625,2003,Termoeléctrica de Mexicali,private,Ciudad de Mexico,,,https://termoelectricamexicali.com/,32.6004631,-115.66236,625.0,Gas
Mexico,CCC La Rosita,Natural gas,,"Mexicali, Baja California",active,1065,2003,Saavi Energía,private,Ciudad de Mexico,,,,32.5988186,-115.6287,1065.0,Gas
Mexico,CCC Campeche,Natural gas,,"Palizada, Campeche",active,225,2003,Saavi Energía,private,Ciudad de Mexico,,,,17.939615,-91.733137,225.0,Gas
Mexico,CCC El Sauz,Natural gas,,"Pedro Escobedo, Querétaro",active,591,1981,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,https://www.gob.mx/presidencia/articulos/version-estenografica-visita-tecnica-a-la-central-ciclo-combinado-el-sauz?idiom=es,20.4572126,-100.1205,591.0,Gas
Mexico,CCC Norte,Natural gas,vapour,"Durango, Durango",active,450,2010,Naturgy,private,Ciudad de Mexico,,,https://globalpowergeneration-int.azurewebsites.net/es/proyectos/mexico/,24.222515,-104.48198,450.0,Gas
Mexico,CCC San Lorenzo,Natural gas,,"Cuautlancingo, Puebla",active,455,2009,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,19.1205186,-98.246286,455.0,Gas
Mexico,CCC Empalme I,Natural gas,vapour,"Guaymas, Sonora",active,770,2019,Comisión Federal de Electricidad (CFE),state-owned,Ciudad de Mexico,100% state-owned,,,27.93167,-110.8027,770.0,Gas
